2018/05/02,826398,55448314,66.40,67.40,66.40,67.40,0.80,567,1227,佳格
2018/05/03,1027288,68436647,66.70,66.90,66.40,66.40,-1.00,783,1227,佳格
2018/05/04,711375,47015017,66.30,66.40,66.00,66.00,-0.40,574,1227,佳格
2018/05/07,921241,60178978,66.00,66.00,65.00,65.00,-1.00,741,1227,佳格
2018/05/08,746247,48562894,65.00,65.50,65.00,65.00,0.00,605,1227,佳格
2018/05/09,687508,44692917,65.00,65.20,64.90,65.00,0.00,533,1227,佳格
2018/05/10,1049647,67438449,64.80,64.90,64.00,64.00,-1.00,801,1227,佳格
2018/05/11,1409552,88588150,64.00,64.00,62.50,62.50,-1.50,1128,1227,佳格
2018/05/14,2372935,142813345,62.20,62.20,59.80,60.20,-2.30,1674,1227,佳格
2018/05/15,3634289,214999712,59.60,59.60,58.90,59.20,-1.00,2239,1227,佳格
2018/05/16,1955028,115461823,59.20,59.60,58.80,59.00,-0.20,1394,1227,佳格
2018/05/17,1970488,118177360,59.10,60.40,59.10,59.70,0.70,1361,1227,佳格
2018/05/18,1644752,98331820,59.70,60.20,59.50,59.70,0.00,1028,1227,佳格
2018/05/21,1424298,85316498,60.00,60.10,59.60,60.00,0.30,893,1227,佳格
2018/05/22,1069562,63991020,60.00,60.10,59.50,59.90,-0.10,566,1227,佳格
2018/05/23,873783,51784483,59.80,59.90,58.90,59.10,-0.80,641,1227,佳格
2018/05/24,1105507,65404006,59.50,59.50,58.80,59.10,0.00,737,1227,佳格
2018/05/25,1120385,66458359,59.10,59.60,59.00,59.40,0.30,832,1227,佳格
2018/05/28,1209413,71183175,59.40,59.40,58.20,59.20,-0.20,1015,1227,佳格
2018/05/29,1048373,62700743,59.40,60.80,59.10,60.20,1.00,825,1227,佳格
2018/05/30,2151428,129505189,60.20,61.40,59.50,59.80,-0.40,1441,1227,佳格
2018/05/31,13480611,823982503,60.50,61.90,59.80,61.20,1.40,2305,1227,佳格
2018/06/01,1212869,73705509,61.20,61.30,60.40,60.70,-0.50,929,1227,佳格
2018/06/04,1458120,90160376,61.10,62.80,60.70,62.50,1.80,1166,1227,佳格
2018/06/05,1058773,67081282,62.50,63.80,62.20,63.20,0.70,824,1227,佳格
